date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:54	13062/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/erase/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/erase/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:54	1425/1425	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Nov%202012%2006:29:56%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=iostream+filebuf	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/delete.b76ab5.delayed	(from http://www.cplusplus.com/reference/)
12:00:54	11411/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/swap/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/swap/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:55	11267/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/clear/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/clear/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:55	12362/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/key_comp/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/key_comp/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:56	12382/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/value_comp/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/value_comp/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:56	2604/2604	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:29:58%20GMT	http://www.cplusplus.com/reference/new.cgi?a=iostream+istringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/new8cfd.html	(from http://www.cplusplus.com/reference/)
12:00:57	12270/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/find/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/find/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:57	11697/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/count/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/count/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:57	2621/2621	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Nov%202012%2006:29:59%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=iostream+istringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/edit8cfd.html	(from http://www.cplusplus.com/reference/)
12:00:58	12740/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/lower_bound/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/lower_bound/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:58	12688/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/upper_bound/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/upper_bound/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:59	1425/1425	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Nov%202012%2006:30:00%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=iostream+istringstream	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/delete.ba8cfd.delayed	(from http://www.cplusplus.com/reference/)
12:00:59	12717/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/equal_range/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/equal_range/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:00:59	10858/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/get_allocator/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/get_allocator/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:01:00	11291/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/multiset/operators/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/multiset/operators/index.html	(from http://www.cplusplus.com/reference/stl/multiset/)
12:01:00	11741/0	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/priority_queue/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/priority_queue/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
12:01:00	9130/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/empty/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/empty/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
12:01:01	9090/-1	---M--	200	added ('OK')	text/html	etag:1347512400	http://www.cplusplus.com/reference/stl/priority_queue/size/	C:/Users/SHOBHIT/Desktop/sherlock%20holmes/www.cplusplus.com/reference/stl/priority_queue/size/index.html	(from http://www.cplusplus.com/reference/stl/priority_queue/)
